Resort,input_Peak elevation (ft),input_Base elevation (ft),input_Vertical drop (ft),input_Skiable acreage,input_Avg annual snowfall (in),output_Total trails,output_Total lifts
Kettlebowl Ski Area,1780,1455,325,670,186,7,5
Powers Bluff County Park and Winter Recreation Area,1430,1180,250,670,186,3,2
Devil's Head Resort,1420,930,490,268,55,28,10
Mount Ashwabay Ski and Recreation Area,4484,3277,317,65,186,13,2
Christie Mountain,1650,1300,350,45,48,30,5
Trollhaugen,1200,920,280,86,50,24,10
Alpine Valley Resort,1040,820,220,90,80,20,12
Keyes Peak Ski Hill,1480,1250,230,670,60,5,2
Whitetail Ridge Ski Area,1050,865,185,670,186,43,1
Triangle Sports Area,710,640,70,670,186,2,3
Kewaunee Winter Park,740,580,160,670,186,5,1
Mount La Cross,1010,594,516,100,40,19,4
Grand Geneva Resort and Spa,1000,789,211,30,25,20,5
Bruce Mound Winter Sports Area,1375,1000,375,40,42,12,5
The Rock Snowpark,925,700,225,75,186,10,5
Tyrol Basin,1130,870,260,30,41,16,6
Nutt Hill Ski Area,4484,3277,100,10,186,2,1
Cascade Mountain,1270,820,450,175,56,47,11
Standing Rocks County Park and Winter Recreation Area,4484,3277,125,670,186,5,1
Camp 10 Ski Area,1740,1510,230,670,186,15,4
Navarino Hills,885,785,100,670,186,43,4
Little Switzerland Ski Area,1269,1069,200,50,45,18,8
Mont Du Lac Resort,920,640,270,10,55,11,2
Whitecap Mountains Resort,1750,1295,400,400,200,43,5
Granite Peak Ski Area,1950,1250,700,220,75,75,7
Sunburst Winter Sports Park,1100,866,214,40,50,12,9
Nordic Mountain,1137,872,265,60,80,18,7
Wilmot Mountain Ski Resort,960,770,190,120,48,23,11
Christmas Mountain,1250,1000,250,40,20,16,3
