,DMU 1,DMU 2,DMU 3,DMU 4,DMU 5,DMU 6,DMU 7,DMU 8,DMU 9,DMU 10,DMU 11,DMU 12,DMU 13,DMU 14,DMU 15
DMU 1,1.0,0.958176670254787,0.6812219407514026,0.7262904816421764,0.5279259016188923,0.9826737567452429,0.9999999999999996,0.7633099714532328,0.7467888929538053,0.6197376036583374,0.3681420617883552,0.6615833598378703,0.6006599762637802,0.4259667569167627,0.781531535347272
DMU 2,1.0,0.9581766702547874,0.6812219407514027,0.7262904816421765,0.5279259016188924,0.9826737567452429,1.0,0.7633099714532329,0.7467888929538052,0.6197376036583375,0.3681420617883551,0.6615833598378704,0.6006599762637802,0.4259667569167627,0.7815315353472718
DMU 3,0.7941650919686846,0.8810560150382732,0.7856705074838065,0.9093247180048598,0.4950564301542042,0.9999999999999996,1.0,0.9648815667029204,0.9999999999999999,0.7384972465182364,0.46765052926577644,0.7220552471857931,0.6180963799176352,0.4732907534505583,0.8983210172099149
DMU 4,0.7098190348096122,0.756672264288494,0.7554300518554624,0.9245616566295715,0.4602946464192813,0.9999999999999993,0.8888757913206085,0.9397664283711595,0.9999999999999997,0.7169816877366082,0.4976572901056875,0.6743181661516854,0.5908642753015122,0.4904830444397893,0.9999999999999993
DMU 5,0.9999999999999998,0.9309943986397573,0.780399455915786,0.8582114425650945,0.5406705925453694,0.9999999999999998,1.0,0.9445483899983415,1.0000000000000002,0.7575181080156081,0.5000983850928674,0.7502774769735884,0.7067350151103956,0.5465018036973672,0.8071988148841325
DMU 6,1.000000000000001,0.9556746400663362,0.6847185560114646,0.7379400070379081,0.5303621259826845,1.0000000000000007,1.0000000000000009,0.7662445336642217,0.7512184815746044,0.6220081030231595,0.3765370427797565,0.6617947023774234,0.6020083094524538,0.4328993960386052,0.816852254774078
DMU 7,0.9999999999999999,0.9319061948446011,0.7795684343382643,0.8539550646911056,0.5396558539576104,0.9920407525325973,1.0,0.9445593286749577,0.9999999999999997,0.7575679194576651,0.49736723248853293,0.7508371602118188,0.7070637644967636,0.5443842582329572,0.789844110666825
DMU 8,0.4971123134901502,0.5771047465811795,0.6354144471521622,0.6205609156355089,0.18818234807204737,0.6057356238085005,0.748337779600024,1.0,0.9999999999999999,0.6614021974261391,0.32126084094768054,0.3719361137135568,0.3631082412879539,0.23270483435326292,0.24951946982744078
DMU 9,0.4971123134901497,0.5771047465811789,0.6354144471521621,0.6205609156355089,0.18818234807204742,0.6057356238084999,0.7483377796000233,0.9999999999999996,1.0,0.6614021974261391,0.3212608409476807,0.3719361137135569,0.3631082412879541,0.2327048343532631,0.2495194698274407
DMU 10,1.000000000000001,0.9319061948446012,0.7795684343382645,0.8539550646911057,0.5396558539576107,0.992040752532598,1.0,0.9445593286749578,0.9999999999999998,0.757567919457665,0.4973672324885334,0.750837160211819,0.707063764496764,0.5443842582329577,0.7898441106668262
DMU 11,0.4343804403198132,0.3394436138270654,0.5699655554509359,0.77602553297141,0.2918644076791127,0.691230884270105,0.4425340008888832,0.7889284927749924,1.0,0.632532788680934,0.7179538507189924,0.5016308782716822,0.5656433345422517,0.7110109697566305,1.0
DMU 12,1.0000000000000002,0.9319061948446014,0.7795684343382644,0.8539550646911057,0.5396558539576104,0.9920407525325973,1.0,0.9445593286749578,1.0,0.7575679194576651,0.49736723248853304,0.7508371602118191,0.7070637644967638,0.5443842582329573,0.7898441106668252
DMU 13,0.9999999999999999,0.7526519744633832,0.7098552572193232,0.8187612367374845,0.49663474905959093,0.9464182852929653,0.8095808166004606,0.8781949627390246,0.9999999999999998,0.7279839700344362,0.6342245989304812,0.6806347066236702,0.7332208013640239,0.7141672479268385,0.9024344037131758
DMU 14,0.6238606814351662,0.5090846452368007,0.6312289716290052,0.7470811775863776,0.2777066531866594,1.0,0.6886453542660492,0.8787072318095392,1.0,0.6243763537384501,0.6416117205830345,0.5477397345729791,0.4772675993711196,0.7586374697564119,1.0
DMU 15,0.277779836229575,0.11615926074554504,0.23847582941964196,0.4596248895289843,0.18879213443178097,0.6653207019723559,0.18417925649295536,0.23981911573152445,0.2861446928223844,0.20081698252193125,0.29396941258255127,0.15020386471022973,0.19155727012850046,0.2810716978984362,1.0000000000000002
